"Source:","F:\OneDrive\Projekte\EC1834-POST\KiCad\rev2b\ec1834-post.sch"
"Date:","03.06.2022 20:12:01"
"Tool:","Eeschema (5.1.12)-1"
"Component Count:","36"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"C1","100n","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","~","",""
"C2","100n","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","~","",""
"C3","100n","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","~","",""
"C4","100n","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","~","",""
"C5","100n","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","~","",""
"C6","100n","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","~","",""
"C7","100uF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","",""
"C8","100n","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","~","",""
"J0","BUS_EC1834_8Bit","Connector_DIN:DIN41612_C_3x32_Male_Horizontal_THT","","",""
"J1","Bus_ISA_8bit","Connector_PCBEdge:ISA-8BIT-XT-IDE","https://en.wikipedia.org/wiki/Industry_Standard_Architecture","",""
"J2","Conn_02x07_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical","~","",""
"J3","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","",""
"J4","Conn_02x06_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical","~","",""
"Q1","BC337","Package_TO_SOT_THT:TO-92_Inline","https://diotec.com/tl_files/diotec/files/pdf/datasheets/bc337.pdf","",""
"Q2","BC337","Package_TO_SOT_THT:TO-92_Inline","https://diotec.com/tl_files/diotec/files/pdf/datasheets/bc337.pdf","",""
"R1","2K2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"R2","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"R3","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"R4","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"R5","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"R6","220","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"RN1","SIL9-8 10K","Resistor_THT:R_Array_SIP9","http://www.vishay.com/docs/31509/csc.pdf","",""
"RN2","330","Resistor_THT:R_Array_SIP8","http://www.vishay.com/docs/31509/csc.pdf","",""
"RN3","330","Resistor_THT:R_Array_SIP8","http://www.vishay.com/docs/31509/csc.pdf","",""
"RN4","330","Resistor_THT:R_Array_SIP8","http://www.vishay.com/docs/31509/csc.pdf","",""
"RN5","330","Resistor_THT:R_Array_SIP8","http://www.vishay.com/docs/31509/csc.pdf","",""
"SW1","SW_DIP_x10","Button_Switch_THT:SW_DIP_SPSTx10_Slide_9.78x27.58mm_W7.62mm_P2.54mm","~","",""
"U1","74LS688","Package_DIP:DIP-20_W7.62mm","http://www.ti.com/lit/gpn/sn74LS688","",""
"U2","74LS86","Package_DIP:DIP-14_W7.62mm","74xx/74ls86.pdf","",""
"U3","7432","Package_DIP:DIP-14_W7.62mm","","",""
"U4","74HC374","Package_DIP:DIP-20_W7.62mm","https://www.ti.com/lit/ds/symlink/cd74hct374.pdf","",""
"U5","2732","Package_DIP:DIP-24_W15.24mm","https://downloads.reactivemicro.com/Electronics/ROM/2732%20EPROM.pdf","",""
"U6","2732","Package_DIP:DIP-24_W15.24mm","https://downloads.reactivemicro.com/Electronics/ROM/2732%20EPROM.pdf","",""
"U7","SA39-11EWA","Display_7Segment:Sx39-1xxxxx","http://www.kingbrightusa.com/images/catalog/SPEC/sa39-11ewa.pdf","",""
"U8","SA39-11EWA","Display_7Segment:Sx39-1xxxxx","http://www.kingbrightusa.com/images/catalog/SPEC/sa39-11ewa.pdf","",""
"U9","74HC374","Package_DIP:DIP-20_W7.62mm","https://www.ti.com/lit/ds/symlink/cd74hct374.pdf","",""
